ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1327,FATİH,İstanbul Üniversitesi-Cerrahpaşa Tıp Fakültesi Nöroloji Bölümü,Poliklinik,Koca Mustafapaşa Cad. No:53/2 CERRAHPAŞA/FATİH,0212 414 30 00,http://cerrahpasa.istanbul.edu.tr,Yok,,,CERRAHPAŞA,41.00514597800003,28.94026860500003
1604,SARIYER,Özel Acıbadem Tıp Merkezi Zekeriyaköy,Tıp Merkezi Özel,Kardelen Cad. No:2 ZEKERİYAKÖY/SARIYER,0212 201 56 56,www.acibadem.com.tr,Yok,,Yok,ZEKERİYAKÖY,41.20556121300007,29.04183134400006
1604,SARIYER,Sarıyer 5 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Zekeriyaköy Cad. No:19 ZEKERİYAKÖY/SARIYER,0212 202 85 95,,Yok,0,,ZEKERİYAKÖY,41.196876634000034,29.028913317000047
1183,BEŞİKTAŞ,Özel Memorial Tıp Merkezi Etiler,Tıp Merkezi Özel,Peker Sk. No:38 NİSBETİYE/BEŞİKTAŞ,0212 324 99 99,www.memorial.com.tr,Yok,,Yok,NİSBETİYE,41.076124107000055,29.021072595000078
1183,BEŞİKTAŞ,Animal Doctors Veteriner Kliniği,Veteriner,Muallim Naci Cad. No:49 ORTAKÖY/BEŞİKTAŞ,0212 261 51 22,www.animaldoctors.com,,0,Yok,ORTAKÖY,41.04899568400003,29.027864544000067
1327,FATİH,Özel Paşa Dent Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Meyvacı Sk. No:1 SİLİVRİKAPI/FATİH,0212 529 80 12,,,,,SİLİVRİKAPI,41.004168209000056,28.928650756000025
1336,GAZİOSMANPAŞA,Özel Dentoria Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Cumhuriyet Meydanı No:2B MERKEZ/GAZİOSMANPAŞA,0212 614 55 55,www.dentoria.com.tr,,,,MERKEZ,41.05795299000005,28.912410584000042
1823,KÜÇÜKÇEKMECE,Diş Hekimi Firdevs Saraç,Muayenehane,Hürriyet Cad. No:80 CENNET/KÜÇÜKÇEKMECE,0212 598 13 09,,,,,CENNET,40.99249955600004,28.779358337000076
1810,KAĞITHANE,Özel Sena Ağız ve Diş Sağlığı Polikliniği,Poliklinik Özel,Sultan Selim Cad. No:1 SULTAN SELİM/KAĞITHANE,0212 283 12 55,,Yok,0,,SULTAN SELİM,41.09091100000006,29.000536964000048
1708,ÜSKÜDAR,Cumhuriyet Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Hekimoğlu Sk. No:10 CUMHURİYET/ÜSKÜDAR,0216 520 05 20,,Yok,0,,CUMHURİYET,41.01241506200006,29.085184080000033
1421,KADIKÖY,İstanbul Medeniyet Üniversitesi Göztepe Eğitim ve Araştırma Hastanesi Merdivenköy Polikliniği,Poliklinik,Ressam Salih Erimez Cad. No:21 MERDİVENKÖY/KADIKÖY,0216 566 66 00,www.sbgoztepehastanesi.gov.tr,Yok,0,,MERDİVENKÖY,40.98572448300007,29.06583905100007
1421,KADIKÖY,Gözüm Optik,Optik,Muvakkıthane Cad. No:21 CAFERAĞA/KADIKÖY,0216 348 62 33,,,,,CAFERAĞA,40.989910321000025,29.024548878000076
1421,KADIKÖY,Sedat Optik,Optik,General Asım Gündüz Cad. No:19 OSMANAĞA/KADIKÖY,0216 346 82 76,,,,,OSMANAĞA,40.98868503400007,29.028968775000067
1810,KAĞITHANE,Özel Teknodent Diş Protez Laboratuvarı,Diş Laboratuvarı,Aydoğan Cad. No:24 TALATPAŞA/KAĞITHANE,0212 210 04 46,,,,,TALATPAŞA,41.063493289000064,28.965408643000046
1663,ŞİŞLİ,Özel İstanbul Cerrahi Hastanesi Fulya,Özel Hastane,Ferah Sk. No:22 TEŞVİKİYE/ŞİŞLİ,0212 291 91 22,www.istanbulcerrahi.com,Var,48,Var,TEŞVİKİYE,41.05562822100006,28.997872432000065
1823,KÜÇÜKÇEKMECE,Tepeüstü Verem Savaş Dispanseri,Verem Savaş Dispanseri,İnönü Cad. No:86/1G YENİ MAHALLE/KÜÇÜKÇEKMECE,0212 425 21 07,,,0,Yok,YENİ MAHALLE,40.99755689700004,28.777293318000034
1421,KADIKÖY,Üsküdar 16 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Cenap Şahabettin Sk. No:97 KOŞUYOLU/KADIKÖY,0216 339 22 93 - 0216 545 17 19,,Yok,0,,KOŞUYOLU,41.00717795400004,29.03384496900003
2053,ESENYURT,Özel Elitium Cerrahi Tıp Merkezi Esenyurt,Tıp Merkezi Özel,Kemal Paşa Cad. No:25 İNÖNÜ/ESENYURT,0212 699 51 11,www.elituim.com.tr,Var,,Yok,İNÖNÜ,41.02345453100003,28.69030881100008
1449,KARTAL,Türk Kızılayı Marmara Bölge Afet Yönetim Müdürlügü,Kızılay,Ferah Sk. No: ESENTEPE/KARTAL,0216 517 08 00,www.afetyonetimi.kizilay.org.tr,,,Yok,ESENTEPE,40.90800743300008,29.189723963000063
1708,ÜSKÜDAR,Özel Üsküdar Anadolu Hastanesi,Özel Hastane,Halk Cad. No:8 AZİZ MAHMUT HÜDAYİ/ÜSKÜDAR,0216 341 88 88 - 0541 660 04 14,www.uah.com.tr,Var,20,Var,AZİZ MAHMUT HÜDAYİ,41.021445259000075,29.015832488000058
1327,FATİH,İstanbul Üniversitesi Tıp Fakültesi Dermatoloji Anabilim Dalı,Poliklinik,Turgut Özal Millet Cad. No:118C TOPKAPI/FATİH,0212 414 20 00,http://istanbultip.istanbul.edu.tr,Yok,19,,TOPKAPI,41.01642914800004,28.932661952000046
1327,FATİH,Fatih 12 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Kocasinan Cad. No:88 HIRKA-İ ŞERİF/FATİH,0212 621 41 01,,Yok,0,,HIRKA-İ ŞERİF,41.01984805600006,28.94001176200004
